Starting time: 2018.02.27 23:43:34
Using scheduler com.simulations.matrix.SimpleSchedulers$MinMinScheduler
First player,Second player,TimeFirst(in seconds)TimeSecond(in seconds)
55,590,2.562465,3.521073
55,595,2.562465,3.525527
55,600,2.562465,3.529065
55,605,2.562465,3.532527
55,610,2.562465,3.535740
55,615,2.562432,3.374185
55,620,2.558950,3.372021
55,625,2.562465,3.372815
55,630,2.562465,3.373382
55,635,2.562465,3.549545
55,640,2.562465,3.413060
55,645,2.562465,3.411671
55,650,2.562465,3.410689
55,655,2.562465,3.409017
55,660,2.562465,3.408648
55,665,2.562465,3.408655
55,670,2.562465,3.407658
55,675,2.562465,3.384460
55,680,2.562465,3.387439
55,685,2.562465,3.576559
55,690,2.562465,3.577855
55,695,2.562465,3.580654
55,700,2.562465,3.581932
55,705,2.562465,3.584305
55,710,2.572095,3.596195
55,715,2.562465,3.587527
55,720,2.562465,3.589132
55,725,2.562465,3.411657
55,730,2.562465,3.408595
55,735,2.562465,3.404890
55,740,2.562465,3.400745
55,745,2.562465,3.596827
55,750,2.562465,3.597922
55,755,2.562465,3.599251
55,760,2.562465,3.600465
55,765,2.562465,3.601527
55,770,2.562465,3.602515
55,775,2.562465,3.603427
55,780,2.562465,3.604265
55,785,2.562465,3.605027
55,790,2.562465,3.605715
55,795,2.562465,3.606327
55,800,2.562465,3.606865
55,805,2.562465,3.607327
55,810,2.562465,3.607711
55,815,2.562465,3.608027
55,820,2.562432,3.607856
55,825,2.560048,3.605932
55,830,2.558950,3.604486
55,835,2.562465,3.607427
55,840,2.562465,3.607365
55,845,2.562465,3.607227
55,850,2.562465,3.607015
55,855,2.562465,3.606727
55,860,2.562465,3.606365
55,865,2.562465,3.605927
55,870,2.562465,3.604465
55,875,2.562465,3.604827
55,880,2.562465,3.604165
55,885,2.562465,3.603427
55,890,2.562465,3.602615
55,895,2.562465,3.601727
55,900,2.562465,3.600765
